inqcode,cell_no,cell_desc,seltype,lower_class,upper_class,lower_size,upper_size,prn_start,no_reqd
687,5811,Admin,U,45111,45190,0,9,0.000000000,0
687,5812,Admin,U,45111,45190,10,49,0.000000000,0
687,5813,Sample,P,45111,45190,50,99,0.129110904,4
687,5814,Census,C,45111,45190,100,999999999,0.000000000,0
687,5821,Admin,U,45200,45200,0,9,0.000000000,0
687,5822,Admin,U,45200,45200,10,49,0.000000000,0
687,5823,Sample,P,45200,45200,50,99,0.773236462,1
687,5824,Census,C,45200,45200,100,999999999,0.000000000,0
687,5831,Admin,U,45310,45400,0,9,0.000000000,0
687,5832,Sample,P,45310,45400,10,49,0.282150417,4
687,5833,Sample,P,45310,45400,50,99,0.044537315,5
687,5834,Census,C,45310,45400,100,999999999,0.000000000,0
687,5841,Sample,P,46110,46190,0,9,0.049367336,3
687,5842,Sample,P,46110,46190,10,49,0.049716546,10
687,5843,Sample,P,46110,46190,50,99,0.812942132,12
687,5844,Census,C,46110,46190,100,999999999,0.000000000,0
687,5851,Admin,U,46210,46240,0,9,0.000000000,0
687,5852,Admin,U,46210,46240,10,49,0.000000000,0
687,5853,Admin,U,46210,46240,50,99,0.000000000,0
687,5854,Census,C,46210,46240,100,999999999,0.000000000,0
687,5861,Admin,U,46310,46390,0,9,0.000000000,0
687,5862,Admin,U,46310,46390,10,49,0.000000000,0
687,5863,Sample,P,46310,46390,50,99,0.217368730,3
687,5864,Census,C,46310,46390,100,999999999,0.000000000,0
687,5871,Admin,U,46410,46499,0,9,0.000000000,0
687,5872,Admin,U,46410,46499,10,49,0.000000000,0
687,5873,Sample,P,46410,46499,50,99,0.158557708,4
687,5874,Census,C,46410,46499,100,999999999,0.000000000,0
687,5881,Admin,U,46510,46520,0,9,0.000000000,0
687,5882,Sample,P,46510,46520,10,49,0.734581300,2
687,5883,Sample,P,46510,46520,50,99,0.103792732,2
687,5884,Census,C,46510,46520,100,999999999,0.000000000,0
687,5891,Admin,U,46610,46690,0,9,0.000000000,0
687,5892,Admin,U,46610,46690,10,49,0.000000000,0
687,5893,Sample,P,46610,46690,50,99,0.566959362,3
687,5894,Census,C,46610,46690,100,999999999,0.000000000,0
687,5901,Admin,U,46711,46770,0,9,0.000000000,0
687,5902,Admin,U,46711,46770,10,49,0.000000000,0
687,5903,Census,C,46711,46770,50,99,0.000000000,0
687,5904,Census,C,46711,46770,100,999999999,0.000000000,0
687,9001,Admin,U,47110,47190,0,9,0.000000000,0
687,9002,Admin,U,47110,47190,10,49,0.000000000,0
687,9003,Admin,U,47110,47190,50,99,0.000000000,0
687,9004,Census,C,47110,47190,100,999999999,0.000000000,0
687,9031,Admin,U,47200,47290,0,9,0.000000000,0
687,9032,Admin,U,47200,47290,10,49,0.000000000,0
687,9033,Sample,P,47200,47290,50,99,0.927951242,6
687,9034,Census,C,47200,47290,100,999999999,0.000000000,0
687,9041,Admin,U,47300,47300,0,9,0.000000000,0
687,9042,Admin,U,47300,47300,10,49,0.000000000,0
687,9043,Admin,U,47300,47300,50,99,0.000000000,0
687,9044,Census,C,47300,47300,100,999999999,0.000000000,0
687,9051,Admin,U,47410,47430,0,9,0.000000000,0
687,9052,Admin,U,47410,47430,10,49,0.000000000,0
687,9053,Sample,P,47410,47430,50,99,0.503985744,5
687,9054,Census,C,47410,47430,100,999999999,0.000000000,0
687,9071,Admin,U,47510,47599,0,9,0.000000000,0
687,9072,Admin,U,47510,47599,10,49,0.000000000,0
687,9073,Admin,U,47510,47599,50,99,0.000000000,0
687,9074,Census,C,47510,47599,100,999999999,0.000000000,0
687,9121,Admin,U,47610,47650,0,9,0.000000000,0
687,9122,Admin,U,47610,47650,10,49,0.000000000,0
687,9123,Sample,P,47610,47650,50,99,0.059070301,2
687,9124,Census,C,47610,47650,100,999999999,0.000000000,0
687,9151,Admin,U,47710,47799,0,9,0.000000000,0
687,9152,Admin,U,47710,47799,10,49,0.000000000,0
687,9153,Sample,P,47710,47799,50,99,0.575292216,11
687,9154,Census,C,47710,47799,100,999999999,0.000000000,0
687,9241,Admin,U,47810,47890,0,9,0.000000000,0
687,9242,Sample,P,47810,47890,10,49,0.944811954,1
687,9243,Sample,P,47810,47890,50,99,0.709215672,1
687,9244,Census,C,47810,47890,100,999999999,0.000000000,0
687,9251,Admin,U,47910,47990,0,9,0.000000000,0
687,9252,Admin,U,47910,47990,10,49,0.000000000,0
687,9253,Sample,P,47910,47990,50,99,0.911700321,1
687,9254,Census,C,47910,47990,100,999999999,0.000000000,0
